| default | arn:aws:sts::256387704049:assumed-role/AstraSandBoxCrossAccount/fm229jTESTARN |
| AWSServiceRoleForApplicationAutoScaling_DynamoDBTable             | arn:aws:sts::256387704049:assumed-role/AWSServiceRoleForApplicationAutoScaling_DynamoDBTable/AutoScaling-RetrieveCurrentCapacity                                          |
| AstraSandBoxCrossAccount                                          | arn:aws:sts::256387704049:assumed-role/AstraSandBoxCrossAccount/fm229j                                                                                                    |
| astra-aws-dome9-EventParserRole-58E992186FE9                      | arn:aws:sts::256387704049:assumed-role/astra-aws-dome9-EventParserRole-58E992186FE9/astra-aws-dome9-EventParser-V9XOP1N8OZ8K                                              |
| astra-aws-dome9-accounts-AccountManagerRole-4D27F73AA8D7          | arn:aws:sts::256387704049:assumed-role/astra-aws-dome9-accounts-AccountManagerRole-4D27F73AA8D7/awslambda_156_20180901052343806                                           |
| astra-aws-dome9-compliance-AlertForwarderRole-4F018C4F9B7D        | arn:aws:sts::256387704049:assumed-role/astra-aws-dome9-compliance-AlertForwarderRole-4F018C4F9B7D/astra-aws-dome9-compliance-AlertForwarder-12I2E96W4WCSL                 |
| astra-aws-dome9-compliance-AlertsFilterRole-4606E4313F3C         | arn:aws:sts::256387704049:assumed-role/astra-aws-dome9-compliance-AlertsFilterRole-4606E4313F3C/astra-aws-dome9-compliance-AlertsFilter-1M2PXC5L0H46J                    |
| astra-aws-dome9-compliance-CloudSupervisorRole-DD16255FD68B       | arn:aws:sts::256387704049:assumed-role/astra-aws-dome9-compliance-CloudSupervisorRole-DD16255FD68B/astra-aws-dome9-compliance-CloudSupervisor-1PPG7FQ611OTV               |
| astra-aws-dome9-compliance-InventoryCollectorRole-FB1C02BD3B92    | arn:aws:sts::256387704049:assumed-role/astra-aws-dome9-compliance-InventoryCollectorRole-FB1C02BD3B92/astra-aws-dome9-compliance-InventoryCollector-1WLWIJI4MKGXJ         |
| astra-aws-dome9-compliance-RemediatorRole-89E997857FDF            | arn:aws:sts::256387704049:assumed-role/astra-aws-dome9-compliance-RemediatorRole-89E997857FDF/astra-aws-dome9-compliance-Remediator-1QEDRZGHNE1D7                         |
| astra-aws-dome9-compliance-SchedulerRole-02F57419DBEE             | arn:aws:sts::256387704049:assumed-role/astra-aws-dome9-compliance-SchedulerRole-02F57419DBEE/astra-aws-dome9-compliance-Scheduler-15SCQSU1BKMPI                           |
